#date,total,ml_rejected,threshold,ghost_total,ghost_movers,total_movers,promoted,atticpossible,recoveredmovers,seeing
2015-05-18 00:00:00,377.0,275.0,0.469,19.0,10.0,67.0,5,8,57,4.39191556
2015-05-19 00:00:00,4392.0,3774.0,0.469,197.0,23.0,197.0,2,1,170,3.71284273
2015-05-20 00:00:00,3642.0,3119.0,0.469,178.0,56.0,246.0,6,4,179,4.57348173
2015-05-21 00:00:00,0.0,0.0,0.469,0.0,0.0,0.0,0,0,0,6.30173584
2015-05-22 00:00:00,8070.0,7053.0,0.469,261.0,85.0,566.0,13,7,438,3.54289595
2015-05-23 00:00:00,6707.0,5908.0,0.469,217.0,57.0,372.0,8,23,291,4.20404422
2015-05-24 00:00:00,1422.0,949.0,0.469,102.0,60.0,392.0,2,3,312,3.96873519
2015-05-25 00:00:00,4916.0,4018.0,0.436,296.0,145.0,625.0,3,0,426,4.27556282
2015-05-26 00:00:00,4678.0,4044.0,0.436,156.0,34.0,170.0,4,11,126,3.36932722
2015-05-27 00:00:00,2613.0,2084.0,0.436,112.0,27.0,108.0,3,1,78,3.31078543
2015-05-28 00:00:00,0.0,0.0,0.436,0.0,0.0,1.0,0,0,0,0
2015-05-29 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-05-30 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,3.33978107
2015-05-31 00:00:00,10055.0,8420.0,0.436,436.0,0.0,31.0,12,6,25,3.01963956
2015-06-01 00:00:00,122.0,116.0,0.436,2.0,0.0,0.0,0,0,0,4.34039523
2015-06-02 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-06-03 00:00:00,272.0,229.0,0.436,9.0,3.0,35.0,0,0,30,5.73933904
2015-06-04 00:00:00,2054.0,1704.0,0.436,99.0,16.0,108.0,9,1,89,3.45413203
2015-06-05 00:00:00,5761.0,4949.0,0.436,256.0,42.0,130.0,7,4,85,3.42877371
2015-06-06 00:00:00,6561.0,5491.0,0.436,401.0,11.0,32.0,8,14,21,3.33809436
2015-06-07 00:00:00,3412.0,2976.0,0.436,128.0,7.0,25.0,3,0,18,3.57176154
2015-06-08 00:00:00,4946.0,4464.0,0.436,149.0,25.0,123.0,6,0,84,3.83699815
2015-06-09 00:00:00,2658.0,2390.0,0.436,66.0,29.0,166.0,1,10,115,4.20501416
2015-06-10 00:00:00,752.0,654.0,0.436,21.0,7.0,13.0,2,4,4,5.17445899
2015-06-11 00:00:00,6207.0,6088.0,0.436,10.0,5.0,121.0,1,1,96,6.58138431
2015-06-12 00:00:00,5105.0,4280.0,0.436,0.0,0.0,244.0,11,1,231,4.05462705
